新冠疫情,#genre#
CCTV-6,http://60.10.167.88:808/hls/6/index.m3u8
CCTV-6,http://222.175.159.226:808/hls/7/index.m3u8
CCTV-6,http://119.39.128.12:88/hls/7/index.m3u8
CCTV-6,http://183.196.25.171:808/hls/76/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-6,http://111.20.33.93/TVOD/88888893/224/3221226011/index.m3u8
CCTV-6,http://140.207.241.2:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-6,http://111.59.189.40:8445/tsfile/live/1004_1.m3u8
CCTV-6,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8

CCTV-10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV-10,http://39.134.66.48/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10,http://120.253.104.16:808/hls/134/index.m3u8
CCTV-10,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226586/10000100000000060000000000499225_0.smil
CCTV-10,http://60.10.167.88:808/hls/10/index.m3u8
CCTV-10,http://222.175.159.226:808/hls/11/index.m3u8
CCTV-10,http://183.196.25.171:808/hls/10/index.m3u8
CCTV-10,http://119.39.128.12:88/hls/11/index.m3u8
CCTV-10,http://111.20.33.93/TVOD/88888893/224/3221226189/index.m3u8
CCTV-10,http://140.207.241.2:8080/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV-10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8
CCTV-10,http://222.240.82.92:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8

CCTV-12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV-12,http://39.134.66.48/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12,http://111.20.33.93/TVOD/88888893/224/3221226190/index.m3u8
CCTV-12,http://120.253.104.16:808/hls/135/index.m3u8
CCTV-12,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226533/10000100000000060000000000499226_0.smil
CCTV-12,http://60.10.167.88:808/hls/12/index.m3u8
CCTV-12,http://222.175.159.226:808/hls/13/index.m3u8
CCTV-12,http://183.196.25.171:808/hls/12/index.m3u8
CCTV-12,http://119.39.128.12:88/hls/13/index.m3u8
CCTV-12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8
CCTV-12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8

CCTV-13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV-13,http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8
CCTV-13,http://117.148.129.5/PLTV/88888888/224/3221231636/index.m3u8
CCTV-13,http://39.134.66.48/PLTV/88888888/224/3221225812/index.m3u8
CCTV-13,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226691/10000100000000060000000006385281_0.smil
CCTV-13,http://60.10.167.88:808/hls/13/index.m3u8
CCTV-13,http://222.175.159.226:808/hls/14/index.m3u8
CCTV-13,http://183.196.25.171:808/hls/13/index.m3u8
CCTV-13,http://119.39.128.12:88/hls/14/index.m3u8
CCTV-13,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://117.148.129.11/PLTV/88888888/224/3221231636/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://111.59.189.40:8445/tsfile/live/1011_1.m3u8
CCTV-13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8

CCTV-4K,https://v.bjiptv.eu.org/4.php


卫视频道,#genre#
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://111.20.33.93/TVOD/88888893/224/3221226199/index.m3u8
浙江卫视,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8
浙江卫视,http://39.134.66.48/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226507/10000100000000060000000000356891_0.smil
浙江卫视,http://60.10.167.88:808/hls/26/index.m3u8
浙江卫视,http://120.253.104.16:808/hls/106/index.m3u8
浙江卫视,http://222.175.159.226:808/hls/42/index.m3u8
浙江卫视,http://182.151.211.171:808/hls/43/index.m3u8
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视,http://183.196.25.171:808/hls/28/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225744/index.m3u8

北京卫视,http://111.20.33.93/TVOD/88888893/224/3221226222/index.m3u8
北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8
北京卫视,rtsp://221.203.83.35/PLTV/88888888/224/3221226469/10000100000000060000000000133834_0.smil
北京卫视,http://120.253.104.16:808/hls/105/index.m3u8
北京卫视,http://222.175.159.226:808/hls/45/index.m3u8
北京卫视,http://119.39.128.12:88/hls/43/index.m3u8
北京卫视,http://183.196.25.171:808/hls/31/index.m3u8
北京卫视,http://182.151.211.171:808/hls/45/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8

江苏卫视,http://111.20.33.93/TVOD/88888893/224/3221226200/index.m3u8
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8
江苏卫视,http://117.148.129.5/PLTV/88888888/224/3221231447/index.m3u8
江苏卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226474/10000100000000060000000000133833_0.smil
江苏卫视,http://60.10.167.88:808/hls/20/index.m3u8
江苏卫视,http://120.253.104.16:808/hls/108/index.m3u8
江苏卫视,http://222.175.159.226:808/hls/44/index.m3u8
江苏卫视,http://119.39.128.12:88/hls/41/index.m3u8
江苏卫视,http://183.196.25.171:808/hls/29/index.m3u8
江苏卫视,http://183.207.255.197/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://182.151.211.171:808/hls/42/index.m3u8
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225743/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8

东方卫视,http://111.20.33.93/TVOD/88888893/224/3221226217/index.m3u8
东方卫视,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226512/10000100000000060000000000356890_0.smil
东方卫视,http://171.108.239.13:8181/tsfile/live/1061_1.m3u8
东方卫视,http://222.175.159.226:808/hls/43/index.m3u8
东方卫视,http://183.196.25.171:808/hls/42/index.m3u8
